activity,ts,anomaly,caseid
end_event_Loan  application approved,28-09-2017 01:59:47,Anomalous,12
end_event_Loan  application canceled,28-09-2017 02:20:48,Anomalous,13
end_event_Loan application rejected,15-10-2017 00:57:46,Anomalous,27
end_event_Loan application rejected,26-10-2017 15:03:35,Anomalous,34
end_event_Loan  application canceled,30-10-2017 04:39:33,Anomalous,37
end_event_Loan  application canceled,31-10-2017 20:40:11,Anomalous,40
end_event_Loan  application approved,01-11-2017 14:58:34,Anomalous,41
end_event_Loan application rejected,08-11-2017 19:25:22,Anomalous,49
Start,09-11-2017 15:04:27,Anomalous,50
start_event_Loan  application received,09-11-2017 15:04:27,Anomalous,50
Check  application  form completeness,09-11-2017 15:59:56,Anomalous,50
Return application back to applicant,09-11-2017 18:27:58,Anomalous,50
Receive updated application,09-11-2017 19:05:23,Anomalous,50
Check  application  form completeness,09-11-2017 19:06:30,Anomalous,50
Appraise property,09-11-2017 19:20:03,Anomalous,50
Check credit history,09-11-2017 19:57:17,Anomalous,50
Assess loan risk,09-11-2017 20:42:23,Anomalous,50
Assess eligibility,09-11-2017 21:32:44,Anomalous,50
Reject application,09-11-2017 22:31:08,Anomalous,50
