ID,Activity,Timestamp,noise
0,Start,2017-09-15 14:46:25.000,Start
0,start_event_Loan  application received,2017-09-15 14:46:25.000,
0,Check  application  form completeness,2017-09-15 14:49:50.739,
0,Appraise property,2017-09-15 15:24:45.563,
0,Check credit history,2017-09-15 18:23:05.595,
0,Assess loan risk,2017-09-15 18:27:07.788,
0,Assess eligibility,2017-09-15 20:48:56.952,
0,Reject application,2017-09-15 23:13:36.780,
0,end_event_Loan application rejected,2017-09-16 00:28:00.877,
0,End,2017-09-16 00:28:00.877,End
1,start_event_Loan  application received,2017-09-16 22:28:03.246,
1,Start,2017-09-16 22:28:03.246,Start
1,Check  application  form completeness,2017-09-16 22:42:09.817,
1,Appraise property,2017-09-16 23:20:47.010,
1,Check credit history,2017-09-17 01:24:50.812,
1,Assess loan risk,2017-09-17 07:03:07.024,
1,Assess eligibility,2017-09-17 08:07:20.639,
1,Cancel application,2017-09-17 08:07:20.639,true
1,Check if home insurance quote is requested,2017-09-17 09:38:14.105,
1,Send acceptance pack,2017-09-17 10:33:46.637,
1,end_event_Loan  application canceled,2017-09-17 11:22:10.671,true
1,Verify repayment agreement,2017-09-17 11:22:10.671,
2,start_event_Loan  application received,2017-09-17 11:33:47.154,
2,Start,2017-09-17 11:33:47.154,Start
2,Check  application  form completeness,2017-09-17 11:47:11.640,
2,Approve application,2017-09-17 11:47:11.640,true
1,Approve application,2017-09-17 13:17:23.427,
2,Return application back to applicant,2017-09-17 13:49:22.338,
1,End,2017-09-17 14:06:41.787,End
1,end_event_Loan  application approved,2017-09-17 14:06:41.787,
2,Receive updated application,2017-09-17 14:24:32.915,
2,Check  application  form completeness,2017-09-17 14:25:17.264,
2,Approve application,2017-09-17 14:25:17.264,true
2,Return application back to applicant,2017-09-17 15:59:19.713,
2,Receive updated application,2017-09-17 16:03:00.697,
2,Check  application  form completeness,2017-09-17 16:13:56.136,
2,end_event_Loan  application canceled,2017-09-17 16:13:56.136,true
2,Return application back to applicant,2017-09-17 17:02:08.827,
2,Receive updated application,2017-09-17 17:58:52.064,
